"MR1","MR2","item"
0.288662891550389,0.517584355410734,"mas01"
0.281313756527138,0.519664700998378,"mas04"
-0.080041941169781,0.629849260529307,"mas05"
-0.152662939985099,0.578363787444335,"mas06"
0.248782621838947,0.58358524003905,"mas07"
0.0838455818381438,0.618783365338587,"mas08"
0.308966096591453,0.580579216599401,"mas09"
0.7610807981985,0.0971843314966124,"mas13"
0.74637530552473,0.0946510888548946,"mas14"
0.451566507507828,0.252814350440063,"mas16"
0.710169971274871,0.0453813000000423,"mas17"
0.699465629448541,0.184174670415391,"mas18"
0.709665465273745,0.293580792025046,"mas19"
0.572898804578074,0.267959472361471,"mas20"
0.282101791431993,0.597491369046485,"mas21"
0.266721631373533,0.685231389182703,"mas23"
0.168292640277239,0.711434505238589,"mas24"
0.745712572749586,0.0154549092563223,"mas25"
0.572023906968481,0.112513490715559,"mas26"
0.566652224707016,0.155045975531577,"mas28"
